"1","กรุงเทพ","station","1a","0.00",NULL,NULL,NULL
"2","รังสิต","station","2a","32.20",NULL,NULL,NULL
"3","อยุธยา","station","3a","81.40",NULL,NULL,NULL
"4","ชุมทางบ้านภาชี","station","4a","90.40",NULL,NULL,NULL
"5","ลพบุรี","station","5a","138.00",NULL,NULL,NULL
"6","บ้านหมี่","station","6a","163.00",NULL,NULL,NULL
"7","บ้านตาคลี","station","7a","178.00",NULL,NULL,NULL
"8","นครสวรรค์","station","8a","236.00",NULL,NULL,NULL
"9","ชุมแสง","station","9a","274.00",NULL,NULL,NULL
"10","ตะพานหิน","station","10a","315.00",NULL,NULL,NULL
"11","พิจิตร","station","11a","331.00",NULL,NULL,NULL
"12","พิษณุโลก","station","12a","419.00",NULL,NULL,NULL
"13","บ้านดารา","station","13a","436.00",NULL,NULL,NULL
"14","อุตรดิตถ์","station","14a","470.00",NULL,NULL,NULL
"15","ศิลาอาสน์","station","15a","488.00",NULL,NULL,NULL
"16","เด่นชัย","station","16a","520.00",NULL,NULL,NULL
"17","นครลำปาง","station","17a","605.00",NULL,NULL,NULL
"18","ลำพูน","station","18a","697.00",NULL,NULL,NULL
"19","เชียงใหม่","station","19a","718.00",NULL,NULL,NULL
"20","สวรรคโลก","station","13b","452.00",NULL,NULL,NULL
"21","โรงรถจักรดีเซลอุตรดิตถ์","depot","1d","485.00",NULL,NULL,NULL
"22","โรงรถจักรดีเซลลำปาง","depot","2d","598.00",NULL,NULL,NULL
"23","โรงรถจักรดีเซลปากน้ำโพ","depot","3d","240.00",NULL,NULL,NULL
"24","โรงรถจักรดีเซลกรุงเทพ","depot","4d","20.00",NULL,NULL,NULL
"25","โรงรถจักรดีเซลเชี่ยงใหม่","depot","5d","720.00",NULL,NULL,NULL
